start_day,end_day,duration_days,stockout_pairs,shortage_units,peak_daily_stockout_pairs,affected_hospitals
5,5,1,1,159.0966,1,1
23,23,1,1,118.5001,1,1
33,37,5,13,108.2954,4,11
40,40,1,1,8.0699,1,1
47,47,1,1,4.2328,1,1
94,94,1,1,3.3206,1,1
102,102,1,1,6.2306,1,1
105,105,1,1,10.878,1,1
115,115,1,1,0.0,1,1
139,139,1,1,5.3543,1,1
159,159,1,1,89.9534,1,1
279,280,2,3,22.7962,2,3
298,298,1,1,5.4594,1,1
304,304,1,1,11.3269,1,1
308,309,2,2,11.8061,1,1
366,367,2,3,13.7674,2,3
371,371,1,1,30.9331,1,1
384,384,1,1,16.5478,1,1
427,427,1,1,0.4494,1,1
575,575,1,1,0.5515,1,1
