day,national_shock_medicine,national_shock_multiplier,stockout_pairs,shortage_units,redistributed_units,ordered_units,pipeline_orders,pipeline_units,active_supplier_disruptions
0,-1,1.0,0,0.0,0.0,187.9852,8,187.9852,0
1,-1,1.0,0,0.0,0.0,862.8298,38,1050.8151,0
2,-1,1.0,0,0.0,0.0,2638.8042,103,3689.6193,0
3,-1,1.0,0,0.0,0.0,5864.0221,227,9553.6414,0
4,-1,1.0,0,0.0,0.0,6521.3483,359,16074.9896,0
5,-1,1.0,1,159.0966,35.6255,8040.4001,501,23633.9287,0
6,-1,1.0,0,0.0,8.3544,7425.593,550,27408.425,0
7,-1,1.0,0,0.0,14.8069,8816.4484,599,31212.1575,0
8,-1,1.0,0,0.0,0.0,9617.8557,630,34326.7616,0
9,-1,1.0,0,0.0,0.0,8073.8898,645,34632.866,0
10,-1,1.0,0,0.0,0.0,6869.477,612,32598.7796,0
11,-1,1.0,0,0.0,0.0,6792.707,609,31078.8978,0
12,-1,1.0,0,0.0,0.0,6090.4481,557,27752.3335,0
13,-1,1.0,0,0.0,0.0,8047.5013,562,27790.9434,0
14,-1,1.0,0,0.0,0.0,7668.7925,570,28800.1118,0
15,-1,1.0,0,0.0,0.0,10090.2137,610,32138.8802,0
16,-1,1.0,0,0.0,0.0,7776.7272,640,34723.3177,0
17,-1,1.0,0,0.0,0.0,8917.0346,647,34774.3232,0
18,-1,1.0,0,0.0,0.0,6458.4758,601,31961.8286,0
19,-1,1.0,0,0.0,0.0,5259.2773,570,29060.985,0
20,-1,1.0,0,0.0,0.0,7672.1873,549,27454.0803,0
21,-1,1.0,0,0.0,0.0,8179.3448,556,27764.7136,0
22,-1,1.0,0,0.0,0.0,9348.1595,595,31342.0261,0
23,-1,1.0,1,118.5001,27.0453,8682.9888,636,34215.5115,0
24,-1,1.0,0,0.0,0.0,7018.9388,633,34021.6438,0
25,-1,1.0,0,0.0,0.0,7744.7289,615,32543.9049,0
26,-1,1.0,0,0.0,0.0,6763.1709,577,29936.6983,0
27,-1,1.0,0,0.0,0.0,7382.4357,577,29059.1308,0
28,-1,1.0,0,0.0,0.0,7959.693,570,29202.2425,0
29,-1,1.0,0,0.0,0.0,7981.1836,592,30775.746,0
30,-1,1.0,0,0.0,0.0,8453.7551,597,31675.0336,0
31,-1,1.0,0,0.0,5.8633,8453.4113,614,33253.7404,0
32,-1,1.0,0,0.0,0.0,7517.2226,616,33124.7983,0
33,2,5.4113,3,47.6472,79.3131,11514.1356,637,35552.7065,0
34,-1,1.0,3,22.5366,28.3717,6597.5884,617,34017.0243,0
35,-1,1.0,2,10.2447,3.7294,6590.8729,599,32182.9702,0
36,-1,1.0,4,13.8576,24.7937,7876.021,593,32591.2281,0
37,-1,1.0,1,14.0093,3.3416,7199.4693,611,33145.8923,0
38,-1,1.0,0,0.0,0.0,9346.4245,598,30831.2901,0
