category,contracts,positive_contracts,value_cop,mean_value_cop
FARMACEUTICO_GENERAL,81558,81558,8892247816912,109029743.457563942225
DISPOSITIVO_MEDICO,15853,15853,2922041792424,184321061.78161862
NO_ESPECIFICADO,15194,15074,2614835699794,173466611.37017381
VACUNA,45932,45932,858644489974,18693818.905643124619
ONCOLOGICO,400,400,421183435500,1052958588.75000000
INSUMO_MEDICO,2230,2230,189682528434,85059429.791031390135
DIABETES,279,279,20402810340,73128352.473118279570
ANTIBIOTICO,217,217,19583728203,90247595.405529953917
ANALGESICO,42,42,8527364620,203032490.95238095
ANTIVIRAL,37,37,910916842,24619374.108108108108
ANTIFUNGICO,9,9,45578604,5064289.333333333333
INMUNOSUPRESOR,1,1,3000000,3000000.000000000000
