region,contracts,value_cop,share
Distrito Capital de Bogotá,11789,4715854755416,0.29569992954130132227
Bogotá D.C.,6215,3916402125962,0.24557156502166452643
Antioquia,47923,1312116096132,0.08227408546258624814
Valle del Cauca,5842,696531448839,0.04367486087404404900
Boyacá,9139,623499248209,0.03909549664410559609
Tolima,3773,426852578703,0.02676509010419376240
Santander,4276,403784692509,0.02531865617524404838
Huila,4175,402986394415,0.02526860020397443878
Cauca,2014,389544280952,0.02442573454969822988
Atlántico,5075,348782890382,0.02186985847957290650
Nariño,9879,271676691852,0.01703504090035607003
Cundinamarca,6716,266129328404,0.01668720258348897440
Casanare,2807,239652842718,0.01502703801992602290
Meta,3178,215125102367,0.01348906633297608478
Norte De Santander,2788,175577426793,0.01100929426889298345
Bolívar,3448,156729796906,0.00982748458249292124
Sucre,3251,152215210943,0.00954440488211960327
Córdoba,2484,148481883848,0.00931031273632603571
Magdalena,6211,145539995116,0.00912584643363262074
Caldas,2965,123952362531,0.00777222937682721117
Norte de Santander,1187,105964407006,0.00664432415980884834
Risaralda,1577,104292840897,0.00653951135146540625
Quindío,2089,102723004098,0.00644107731247755929
La Guajira,2387,89786336548,0.00562990481429132297
Cesar,2168,70947606021,0.00444865314764832399
Caquetá,1468,64988696962,0.00407500953895455148
Putumayo,1891,62772637817,0.00393605518878435599
Amazonas,482,59245160506,0.00371487051571457944
Arauca,2227,31800866885,0.00199402114461798976
Guaviare,219,29242302472,0.00183359056397254283
Vichada,1086,22801978620,0.00142976063111203236
Chocó,399,22103387650,0.00138595663134508727
No Definido,124,19191605740,0.00120337812749320536
Vaupés,220,14880817301,0.00093307721624995586
Guainía,109,11435170627,0.00071702359891666694
San Andrés Providencia y Santa Catalina,171,4497189500,0.00028198888372391629
