supplier_rank,supplier,contracts,value_cop,share,cumulative_share
1,HOSMIL,3,925648237327,0.05804125291248044458,0.05804125291248044458
2,ETICOS U.T. 2020,30,597283275232,0.03745166710222825590,0.09549292001470870048
3,ORGANIZACION PANAMERICANA DE LA SALUD/ORGANIZACION MUNDIAL DE LA SALUD,2,457053843006,0.02865881079527291990,0.12415173080998162038
4,UNIVERSIDAD DE ANTIOQUIA,26,441532957493,0.02768559915270869755,0.15183732996269031793
5,AGENCIA DISTRITAL PARA LA EDUCACIÓN SUPERIOR LA CIENCIA Y LA TECNOLOGÍA ATENEA,2,356374821508,0.02234589805574144351,0.17418322801843176144
6,DISTRIBUIDORA COLOMBIANA DE MEDICAMENTOS  Y TECNOLOGIAS EN SALUD SAS - DISCOLMETS S.A.S,582,323996098721,0.02031564340556220116,0.19449887142399396260
7,UNION TEMPORAL MEDIPOL 14,1,313656960212,0.01966734470104466499,0.21416621612503862759
8,POLPHARMA UT,3,271154419868,0.01700229269311053699,0.23116850881814916458
9,UNION TEMPORAL MEDIPOL 15,1,267229825449,0.01675620744380473794,0.24792471626195390252
10,Rafael Antonio Salamanca,228,234337612760,0.01469375525241259291,0.26261847151436649543
