category,contracts,positive_contracts,value_cop,mean_value_cop
FARMACEUTICO_GENERAL,81589,81589,9855675311789,120796618.56119085
DISPOSITIVO_MEDICO,15863,15863,2922199548541,184214811.10388955
NO_ESPECIFICADO,15226,15106,2625771022181,173823051.91188932
VACUNA,45935,45935,864559900913,18821375.877065418526
ONCOLOGICO,400,400,421183435500,1052958588.75000000
INSUMO_MEDICO,2232,2232,189981532310,85117173.974014336918
DIABETES,279,279,20402810340,73128352.473118279570
ANTIBIOTICO,217,217,19583728203,90247595.405529953917
ANALGESICO,42,42,8527364620,203032490.95238095
ANTIVIRAL,37,37,910916842,24619374.108108108108
ANTIFUNGICO,9,9,45578604,5064289.333333333333
INMUNOSUPRESOR,1,1,3000000,3000000.000000000000
