region,contracts,value_cop,share
Bogota D.C. combined,18020,9607029054081,0.56749468357354430871
Antioquia,47964,1312222854393,0.07751402533912332709
Valle del Cauca,5843,696545361539,0.04114547664173870015
Boyacá,9142,623561428476,0.03683425891080596773
Tolima,3773,426852578703,0.02521451405215746396
Santander,4278,403804637409,0.02385305422123251867
Huila,4177,403195924367,0.02381709706806765566
Cauca,2015,389556780952,0.02301142225091680540
Atlántico,5075,348782890382,0.02060287679978639603
Nariño,9879,271676691852,0.01604815363927368663
Cundinamarca,6722,266553370369,0.01574551505168603291
Casanare,2807,239652842718,0.01415647994610562750
Meta,3178,215125102367,0.01270760723312554651
Norte De Santander,2788,175577426793,0.01037149525619729477
Bolívar,3448,156729796906,0.00925815108927289225
Sucre,3252,152229580848,0.00899231982411580026
Córdoba,2484,148481883848,0.00877094044541588137
Magdalena,6211,145539995116,0.00859716078828392748
Caldas,2965,123952362531,0.00732196252938801779
Norte de Santander,1187,105964407006,0.00625939999612925291
Risaralda,1578,104301872396,0.00616119278273155508
Quindío,2090,102723209898,0.00606793996026909295
La Guajira,2387,89786336548,0.00530374878244907751
Cesar,2168,70947606021,0.00419093030764643055
Putumayo,1893,67777478061,0.00400366838167321518
Caquetá,1469,65074196962,0.00384398346313581636
Amazonas,482,59245160506,0.00349965774282052483
Arauca,2227,31800866885,0.00187850195816794290
Guaviare,219,29242302472,0.00172736556690854741
Vichada,1086,22801978620,0.00134693062433394002
Chocó,399,22103387650,0.00130566431200827077
No Definido,124,19191605740,0.00113366308828461777
Vaupés,220,14880817301,0.00087902146001728100
Guainía,109,11435170627,0.00067548442916618445
San Andrés Providencia y Santa Catalina,171,4497189500,0.00026565248402039943
