supplier_rank,supplier,contracts,value_cop,share,cumulative_share
1,EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS  SA _ VECOL SA,1,956764192641,0.05651680552862040132,0.05651680552862040132
2,HOSMIL,3,925648237327,0.05467876183003223912,0.11119556735865264044
3,ETICOS U.T. 2020,30,597283275232,0.03528198794585389766,0.14647755530450653810
4,ORGANIZACION PANAMERICANA DE LA SALUD/ORGANIZACION MUNDIAL DE LA SALUD,2,457053843006,0.02699852624080296519,0.17347608154530950329
5,UNIVERSIDAD DE ANTIOQUIA,26,441532957493,0.02608169545332454527,0.19955777699863404856
6,AGENCIA DISTRITAL PARA LA EDUCACIÓN SUPERIOR LA CIENCIA Y LA TECNOLOGÍA ATENEA,2,356374821508,0.02105133808035589128,0.22060911507898993984
7,DISTRIBUIDORA COLOMBIANA DE MEDICAMENTOS  Y TECNOLOGIAS EN SALUD SAS - DISCOLMETS S.A.S,582,323996098721,0.01913870172429963425,0.23974781680328957409
8,UNION TEMPORAL MEDIPOL 14,1,313656960212,0.01852796076540812681,0.25827577756869770090
9,POLPHARMA UT,3,271154419868,0.01601730262668374300,0.27429308019538144390
10,UNION TEMPORAL MEDIPOL 15,1,267229825449,0.01578547377976058214,0.29007855397514202604
